Код,Наименование,Биоматериал,Тип результата,Лаборатория исполнения,"Алматы, СРОК","Партнерская цена, в тенге.",Цена для клиентов на сайте checkdoc
1553,"Белок Бенс-Джонса в моче: иммунофиксация, количественное определение, типирование каппа, лямбда (Bence-Jones Protein, Urine, Electrophoresis, Immunofixation, Kappa/Lambda Typing, Quantification )",Моча,Кол. + Заключ.,МСК,до 11,  20 712 ,  28 997 
1539,Свободные легкие цепи иммуноглобулинов каппа и лямбда сыворотки с расчетом индекса каппа/лямбда,Сыворотка крови,Кол,МСК,до 11,  13 592 ,  19 029 
1540,Свободные легкие цепи иммуноглобулинов каппа и лямбда в моче (Urine immunoglobulin free light chains (FLC) kappa and lambda),Моча,Кол,МСК,до 11,  9 592 ,  13 429 
153,Гомоцистеин (Homocysteine),Плазма крови,Кол,Алматы,1,  5 344 ,  7 482 
1689,Аминокислоты в плазме крови - скрининговое исследование 13 показателей,Плазма крови,,МСК,до 7,  23 192 ,  32 469 
1690,"Аминокислоты в плазме крови, 48 показателей",Плазма крови,,МСК,до 7,  35 192 ,  49 269 
22,Креатинин (Creatinine),Сыворотка крови,Кол,Алматы,1,  1 104 ,  1 546 
1525,Цистатин С (Cystatin C),Сыворотка крови,Кол,МСК, до 2,  3 192 ,  4 469 
1526,"Клубочковая фильтрация, расчет по формуле CKD-EPI – цистатин С (Estimated Glomerular Filtration Rate, eGFR, CKD-EPI Сystatin C Equation)",Сыворотка крови,Кол,МСК, до 2,  4 048 ,  5 667 
26,Мочевина (Urea),Сыворотка крови,Кол,Алматы,1,  1 104 ,  1 546 
27,Мочевая кислота (Uric Аcid),Сыворотка крови,Кол,Алматы,1,  1 104 ,  1 546 
40CKDEPI,"Клубочковая фильтрация, расчет по формуле CKD-EPI – креатинин (Estimated Glomerular Filtration Rate, eGFR, CKD-EPI Creatinine Equation)",Сыворотка крови,Кол,Алматы,1,  872 ,  1 221 
13,Билирубин общий (Bilirubin Total),Сыворотка крови,Кол,Алматы,1,  1 104 ,  1 546 
14,"Билирубин прямой (Билирубин конъюгированный, связанный) (Direct Bilirubin, DBIL, Conjugated Bilirubin )",Сыворотка крови,Кол,Алматы,1,  1 104 ,  1 546 
8,"Аланинаминотрансфераза (АлАТ, АЛТ, глутамино-пировиноградная трансаминаза, ГПТ) (Alanine Aminotransferase, ALT, Serum Glutamic Pyruvic Transaminase, SGPT )",Сыворотка крови,Кол,Алматы,1,  1 104 ,  1 546 
34,"Холинэстераза (S-Псевдохолинэстераза, холинэстераза II, S-ХЭ, ацилхолингидролаза) (Cholinesterase, Pseudocholinesterase, PCHE)",Сыворотка крови,Кол,МСК, до 2,  1 152 ,  1 613 
36,"Фосфатаза щелочная (ЩФ) (Alkaline Phosphatase, ALP)",Сыворотка крови,Кол,Алматы,1,  1 104 ,  1 546 
9,"Аспартатаминотрансфераза (АсАТ, АСТ, глутамино-щавелевоуксусная трансаминаза, ГЩТ) (Aspartateaminotransferase, AST, Serum Glutamicoxaloacetic Transaminase, SGOT )",Сыворотка крови,Кол,Алматы,1,  1 104 ,  1 546 
11,"Альфа-амилаза (α-амилаза, диастаза) (Аlpha-Аmilase, α-Amylase)",Сыворотка крови,Кол,Алматы,1,  1 024 ,  1 434 
12,Альфа-амилаза панкреатическая (P-изофермент амилазы) (Pancreatic α-Amylase),Сыворотка крови,Кол,Алматы,1,  1 104 ,  1 546 
15,"Гамма-глутамилтранспептидаза (ГГТ, глутамилтранспептидаза) (Gamma-Glutamyl Transferase, GGT)",Сыворотка крови,Кол,Алматы,1,  1 104 ,  1 546 
19,"Креатинкиназа (Креатинфосфокиназа, КК, КФК) (Creatine Kinase, CK, Creatine Phosphokinase, CPK)",Сыворотка крови,Кол,МСК,до 3,  1 104 ,  1 546 
20,"Креатинкиназа-МВ (Креатинфосфокиназа-МВ, КК-МВ, КФК-МВ) (Creatine Kinase-MB, CK-MB, Creatine Phosphokinase-MB, CPK-MB.)",Сыворотка крови,Кол,МСК, до 2,  1 992 ,  2 789 
23,Липаза (Триацилглицеролацилгидролаза) (Lipase),Сыворотка крови,Кол,МСК, до 2,  1 824 ,  2 554 
24,"Лактатдегидрогеназа (ЛДГ, L-лактат, НАД+Оксидоредуктаза) (Lactate Dehydrogenase, LDH)",Сыворотка крови,Кол,МСК, до 2,  1 104 ,  1 546 
216,Гастрин (Gastrin),Сыворотка крови,Кол,МСК, до 5,  4 312 ,  6 037 
294,Пепсиноген I (Pepsinogen I),Сыворотка крови,Кол,МСК,до 8,  4 576 ,  6 406 
295,Пепсиноген II (Pepsinogen II),Сыворотка крови,Кол,МСК,до 8,  4 576 ,  6 406 
2111,"Пепсиногены I и II с расчетом соотношения (Пепсиноген I/Пепсиноген II) (Pepsinogen I/Pepsinogen II, PG1/PG2)",Сыворотка крови,Кол,МСК,до 8,  7 992 ,  11 189 
ГАСТР,Гастропанель (GastroPanel),Плазма крови,"Кол., Описательный формат",МСК, до 10,  20 792 ,  29 109 
978,"Стимуляционная проба – Гастрин-17 (стимулированный) (Gastrin-17 Stimulation Test, Gastrin-17, G-17)",Плазма крови,"Кол., Описательный формат",МСК, до 10,  8 702 ,  12 183 
146,"Остеокальцин (Костный Gla белок) (Оsteocalcin, N-Osteocalcin, Bone Gla Protein, BGP)",Плазма крови; Сыворотка крови,Кол,МСК, до 2,  4 840 ,  6 776 
928,"25-OH витамин D общий (25-OH Vitamin D Total, 25(OH)D, 25-Hydroxycalciferol)",Сыворотка крови,Кол,Алматы,1,  5 504 ,  7 706 
203,"С-концевые телопептиды коллагена I типа (бета-CrossLaps, С-терминальный телопептид, СТ) (Carboxyterminal Cross-linking Telopeptide of Bone Collagen, Collagen Cross-linked C-Telopeptide, Beta-Cross Laps, β-CrossLaps Serum, C-Telopeptide, Crosslaps, Type 1 Collagen, СТ, b-СTx Serum)",Плазма крови,Кол,МСК,до 4,  3 512 ,  4 917 
204,"N-терминальный пропептид проколлагена 1 общий (Procollagen Type 1 N-terminal Propeptide, P1NP, Total)",Сыворотка крови,Кол,МСК, до 2,  15 992 ,  22 389 
147,"Дезоксипиридинолин (ДПИД) в моче (Deoxypyridinolinein, DPD, Urine)",Моча,Кол,МСК,до 3,  11 592 ,  16 229 
117,"Витамин В12 (цианокобаламин, кобаламин) (Cobalamin)",Сыворотка крови,Кол,Алматы,1,  2 784 ,  3 898 
118,Фолиевая кислота  (Folic Acid),Сыворотка крови,Кол,Алматы,1,  2 784 ,  3 898 
877,"Витамин К1 в сыворотке (филлохинон)  (Vitamin K1, Phylloquinone, Serum)",Сыворотка крови,Кол,МСК,до 6,  9 722 ,  13 610 
931,"Витамин А в сыворотке (ретинол) (Vitamin A, Retinol, Serum)",Сыворотка крови,Кол,МСК,до 6,  9 594 ,  13 431 
932,"Витамин Е в сыворотке (альфа-токоферол) (Vitamin E, alpha-Tocopherol, Serum)",Сыворотка крови,Кол,МСК,до 6,  9 594 ,  13 431 
1317B12,"Активный витамин В12 (Голотранскобаламин, Active-B12, Holotranscobalamin)",Сыворотка крови,Кол,МСК,до 5,  12 154 ,  17 015 
1581,Омега-3 индекс (Omega-3 Index),Цельная кровь,Кол,МСК,до 6,  19 066 ,  26 692 
1587,"Жирные кислоты, профиль: омега-3,-6,-9, плазма (Fatty acids panel, omega-3, -6, -9, plasma)",Плазма крови,Кол,МСК,до 6,  31 994 ,  44 791 
1604,Витамин В1 (тиамин),Плазма крови,Кол,МСК,до 6,  9 594 ,  13 431 
1609,Витамин В2 (рибофлавин),Плазма крови,Кол,МСК,до 6,  8 314 ,  11 639 
1610,Витамин В3 (никотинамид),Плазма крови,Кол,МСК,до 6,  9 338 ,  13 073 
1608,Витамин В5 (пантотеновая кислота),Плазма крови,Кол,МСК,до 6,  9 722 ,  13 610 
1605,Витамин В6 (пиридоксальфосфат),Плазма крови,Кол,МСК,до 6,  8 314 ,  11 639 
1611,"Витамин В7, Н (биотин)",Плазма крови,Кол,МСК,до 6,  9 338 ,  13 073 
1606,Витамин С (аскорбиновая кислота),Плазма крови,Кол,МСК,до 6,  9 594 ,  13 431 
1614,Ретинил пальмитат,Сыворотка крови,Кол,МСК,до 6,  10 234 ,  14 327 
1615,Бета-каротин,Сыворотка крови,Кол,МСК,до 6,  8 314 ,  11 639 
1603,"1,25-дигидроксивитамин D3 (1,25-dihydroxivitamin D3)",Сыворотка крови,Кол,МСК,до 6,  11 514 ,  16 119 
1616,"Витамин 25(OH)D2 и 25(OH)D3, раздельное определение (ВЭЖХ - МС/МС)",Сыворотка крови,Кол,МСК,до 6,  21 592 ,  30 229 
39,"Калий/Натрий/Хлор в сыворотке крови (К+/Potassium, Na+/Sodium, Сl-/Chloride, Serum)",Сыворотка крови,Кол,Алматы,1,  1 672 ,  2 341 
1522,"Калий, Натрий (Potasium, Sodium)",Сыворотка крови,Кол,Алматы,1,  1 592 ,  2 229 
37,Кальций общий (Ca) (Calcium Total),Сыворотка крови,Кол,Алматы,1,  1 104 ,  1 546 
165,"Кальций ионизированный (Ca2+, cвободный кальций) (Ionized Calcium, Free Calcium)",Плазма крови; Сыворотка крови,Кол,МСК,до 4,  1 904 ,  2 666 
40,"Магний (Мg) в сыворотке крови  (Magnesium (Mg), Serum)",Сыворотка крови,Кол,Алматы,1,  1 104 ,  1 546 
41,Фосфор неорганический (P) (Phosphorus (P)),Сыворотка крови,Кол,МСК, до 2,  1 112 ,  1 557 
48,"Железо (Fe) в сыворотке крови  (Iron (Fe), Serum)",Сыворотка крови,Кол,Алматы,1,  1 104 ,  1 546 
49,"Латентная (ненасыщенная) железосвязывающая способность сыворотки крови (ЛЖСС, НЖСС) (Unsaturated Iron Binding Capacity, UIBC)",Сыворотка крови,Кол,МСК, до 2,  1 344 ,  1 882 
42,"Антистрептолизин-О (АСЛ-О, АСЛО) (Antistreptolysin-O, ASO)",Сыворотка крови,Кол,Алматы,1,  1 904 ,  2 666 
51,Ферритин (Ferritin),Сыворотка крови,Кол,Алматы,1,  1 904 ,  2 666 
21,Миоглобин (Myoglobin),Сыворотка крови,Кол,МСК,до 4,  3 272 ,  4 581 
1631,"Натрийуретического гормона (В-типа) N-концевой пропептид (NT-proBNP, N-Terminal Pro-brain Natriuretic Peptide, Pro-B-Type Natriuretic Peptide)",Сыворотка крови,Кол,МСК, до 2,  10 120 ,  14 168 
157,Тропонин-I (Troponin-I),Сыворотка крови,Кол,МСК, до 2,  6 072 ,  8 501 
838,"Карбогидрат-дефицитный трансферрин (Carbohydrate-Deficient Trancferrin, CDT)",Сыворотка крови,Кол,МСК,до 5,  12 792 ,  17 909 
839,Карбогидрат -дефицитный трансферрин с электрофореграммой (Carbohydrate-Deficient Transferrin with results on an electrophoregram (CDT)),Сыворотка крови,Кол,МСК,до 5,  24 848 ,  34 787 
43,"С-реактивный белок (СРБ) (C-Reactive Protein, CRP)",Сыворотка крови,Кол,Алматы,1,  1 584 ,  2 218 
1643,Высокочувствительный С-реактивный белок (кардио),Сыворотка крови,Кол,МСК, до 2,  1 272 ,  1 781 
44,"Ревматоидный фактор (РФ) (Rheumatoid Factor, RF)",Сыворотка крови,Кол,Алматы,1,  1 904 ,  2 666 
840,Церулоплазмин (Ceruloplasmin),Сыворотка крови,Кол,МСК, до 2,  2 280 ,  3 192 
841,Гаптоглобин (Haptoglobin),Сыворотка крови,Кол,МСК, до 2,  3 016 ,  4 222 
1210,"Альфа-2-макроглобулин (Alpha-2-Macroglobulin, α2-Macroglobulin, A2M)",Сыворотка крови,Кол,МСК, до 2,  2 152 ,  3 013 
1200A1AT,"Альфа-1-антитрипсин (А1АТ), концентрация  (Alpha-1-Antitrypsin, A1AT, AAT, Concentration)",Сыворотка крови,Кол,МСК,до 12,  6 112 ,  8 557 
832A1A,"Альфа-1-антитрипсин (А1АТ), фенотипирование (Alpha-1-Antitrypsin, A1AT, AAT, Phenotyping)",Цельная кровь,Кач,МСК,до 18,  12 424 ,  17 394 
50,Трансферрин (Сидерофилин) (Transferrin),Сыворотка крови,Кол,МСК, до 2,  1 904 ,  2 666 
1566,"Гепсидин 25 (биоактивный) (Hepcidin 25, bioactive)",Сыворотка крови,Кол,МСК,до 8,  43 192 ,  60 469 
1595STFR,"Растворимые рецепторы трансферрина (рТФР, Soluble Transferrin Receptor, sTfR)",Сыворотка крови,Кол,МСК,до 10,  16 632 ,  23 285 
1700,Прокальцитонин (Procalcitonin),Сыворотка крови,Кол,МСК, до 2,  8 472 ,  11 861 
103,"ПСА общий (Простатический специфический антиген общий) (Prostate-Specific Antigen Total, PSA Total)",Сыворотка крови,Кол,Алматы,1,  2 944 ,  4 122 
144,"СА-19-9 (Углеводный антиген 19-9) (Carbohydrate Antigen СА-19-9, Cancer Antigen-GI)",Сыворотка крови,Кол,Алматы,1,  3 104 ,  4 346 
167,"Цитокератиновый фрагмент (Cyfra 21-1, фрагмент цитокератина 19) (Cytokeratin 19 Fragments, C-terminus of Cytokeratin 19, CK19 Soluble Fragments, Cyfra 21-1)",Сыворотка крови,Кол,МСК, до 2,  4 600 ,  6 440 
143,"СА-125 (Углеводный антиген 125) (Carbohydrate Antigen СА-125, Cancer Antigen СА-125)",Сыворотка крови,Кол,Алматы,1,  2 784 ,  3 898 
1281,"HE4 (Белок 4 эпидидимиса человека) (Human Epididymis Protein 4, HE4)",Сыворотка крови,Кол,МСК, до 2,  4 864 ,  6 810 
ROMA1,"Оценка риска рака яичников по алгоритму ROMA (Risk of Ovarian Malignancy Algorithm, алгоритм расчета риска эпителиального рака яичников) (для женщин до менопаузы) (Risk of Ovarian Malignancy Algorithm, ROMA (Before Menopause))",Сыворотка крови,Кол,МСК, до 2,  6 392 ,  8 949 
ROMA2,"Оценка риска рака яичников по алгоритму ROMA (Risk of Ovarian Malignancy Algorithm, алгоритм расчета риска эпителиального рака яичников) (для женщин после менопаузы) (Risk of Ovarian Malignancy Algorithm, ROMA (After Menopause))",Сыворотка крови,Кол,МСК, до 2,  5 592 ,  7 829 
1280,"CA-242 (Углеводный антиген 242, опухолевый маркер CA-242) (Carbohydrate Antigen СА-242, Tumor Marker CA-242)",Сыворотка крови,Кол,МСК, до 9,  4 792 ,  6 709 
208,"Бета-2-микроглобулин (β-2-микроглобулин) в сыворотке крови (Вeta-2-Microglobulin, BMG, Serum )",Сыворотка крови,Кол,МСК,до 4,  4 312 ,  6 037 
946,"Хромогранин А (Chromogranin A, CgA)",Сыворотка крови,Кол,МСК,до 6,  22 392 ,  31 349 
1198,Белок S100 (S100 Рrotein),Сыворотка крови,Кол,МСК, до 2,  9 640 ,  13 496 
1296,"SCC (Антиген плоскоклеточной карциномы) (Squamous Cell Carcinoma Antigen, SCCA, SCCAg)",Сыворотка крови,Кол,МСК,до 7,  7 192 ,  10 069 
1297,"UBC (Антиген рака мочевого пузыря, исследование растворимых фрагментов цитокератинов 8 и 18 в моче) (Urine Bladder Cancer Antigen, Urine Bladder Cancer, UBC)",Моча,Кол,МСК,до 9,  9 272 ,  12 981 
15КЗХ,Онкориск мужской: предстательная железа,Сыворотка крови,Кол,Алматы,1,  4 792 ,  6 709 
2113,"Оценка здоровья простаты (ПСА общ., ПСА св., -2proPSA, phi)",Сыворотка крови,Кол,МСК, до 4,  21 990 ,  30 786 
171,Кальцитонин (Calcitonin),Сыворотка крови,Кол,МСК,до 3,  5 880 ,  8 232 
92,"Альфа-фетопротеин (АФП) (α-Fetoprotein, AFP)",Сыворотка крови,Кол,МСК, до 2,  2 784 ,  3 898 
141,"Раково-эмбриональный антиген (РЭА, карциноэмбриональный антиген) (Carcinoembryonic Antigen, CEA)",Сыворотка крови,Кол,Алматы,1,  2 784 ,  3 898 
142,"СА-15-3 (Углеводный антиген 15-3) (Carbohydrate Antigen СА-15-3, Cancer Antigen СА-15-3)",Сыворотка крови,Кол,Алматы,1,  3 104 ,  4 346 
166,"CA-72-4 (Углеводный антиген 72-4) (Carbohydrate Antigen СА-72-4, Cancer Antigen CA-72-4)",Сыворотка крови,Кол,МСК, до 2,  4 704 ,  6 586 
209,"Нейронспецифическая енолаза (НСЕ) (Neuron-Specific Enolase, NSE)",Сыворотка крови,Кол,МСК, до 2,  3 992 ,  5 589 
7650,Молекулярно-генетическая диагностика рака предстательной железы,Моча,ПКол+Кач,МСК,до 9,  27 192 ,  38 069 
100,"Адренокортикотропный гормон (АКТГ, кортикотропин) (Adrenocorticotropic Hormone, ACTH)",Плазма крови,Кол,МСК,до 3,  3 120 ,  4 368 
56,"Тиреотропный гормон (ТТГ, тиротропин) (Thyroid Stimulating Hormone, TSH)",Сыворотка крови,Кол,Алматы,1,  1 912 ,  2 677 
99,"Соматотропный гормон (соматотропин, СТГ) (Growth Hormone, GH)",Сыворотка крови,Кол,МСК, до 3,  3 360 ,  4 704 
174,"Соматомедин С (Инсулиноподобный фактор 1) (Somatomedin C, Insulin-like Growth Factor 1, IGF-1)",Сыворотка крови,Кол,МСК, до 3,  3 832 ,  5 365 
59,"Фолликулостимулирующий гормон (ФСГ) (Follicle Stimulating Hormone, FSH)",Сыворотка крови,Кол,Алматы,1,  2 384 ,  3 338 
60,"Лютеинизирующий гормон (ЛГ) (Luteinizing Hormone, LH)",Сыворотка крови,Кол,Алматы,1,  2 224 ,  3 114 
61,Пролактин (Prolactin),Сыворотка крови,Кол,Алматы,1,  2 392 ,  3 349 
6161,Макропролактин (Macroprolactin)*,Сыворотка крови,Кол,Алматы,1,  2 712 ,  3 797 
1645,"Мелатонин, плазма (Melatonin, plasma)",Плазма крови,Кол,МСК,до 6,  12 792 ,  17 909 
198,"Антитела к микросомальной фракции тиреоцитов (АТ к микросомальному антигену тиреоцитов, АТ-МАГ, АМАТ, тиреоидные антимикросомальные антитела) (Anti-Thyroid Microsomal Antibodies)",Сыворотка крови,Полукол,МСК,до 8,  2 464 ,  3 450 
199,"Антитела к рецепторам ТТГ (АТ к рецепторам тиреотропного гормона в сыворотке крови, Ат-рТТГ) (Thyroid-Stimulating Hormone Receptor Antibodies, TSH Receptor Antibodies, TSHRAbs, TSH binding inhibitor immunoglobulin, TBII)",Сыворотка крови,Кол,МСК,до 3,  7 744 ,  10 842 
54,"Тироксин общий (T4 общий, тетрайодтиронин общий) (Total Thyroxine, TT4)",Сыворотка крови,Кол,Алматы,1,  1 984 ,  2 778 
55,"Тироксин свободный (Т4 свободный) (Free Thyroxine, FT4)",Сыворотка крови,Кол,Алматы,1,  2 224 ,  3 114 
52,"Трийодтиронин общий (Т3 общий) (Total Triiodthyronine, TT3)",Сыворотка крови,Кол,Алматы,1,  1 984 ,  2 778 
53,"Трийодтиронин свободный (Т3 свободный) (Free Triiodthyronine, FT3)",Сыворотка крови,Кол,Алматы,1,  2 384 ,  3 338 
