Код,Наименование,Цена,Цена со скидкой,Сроки выполнения
00-002,Риноцитограмма (мазок из полости носа),"2,25",1575,1-3
04-003,Секрет простаты (забор делает уролог),3,2100,1-3
00-011,Соскоб/с кожи. Обнаружение демодекса,"1,75",1225,1-3
04-001,*Спермограмма,"5,45",3815,1-3
04-049,Спермограмма с описанием морфологии сперматозоидов,"9,6",6720,1-3
08-120,ТМ-2-пируваткиназа (tumor M2-PK) в кале,"17,6",14960,14-16
08-091,Тропонин- I (количественный),"11,95",8365,1-3
04-060,Исследование мокроты (общеклиническое),"5,15",3605,1-3
04-061,Исследование синовиальной жидкости (общеклиническое),"4,79",3355,1-3
04-062,Микроскопия соскоба из ротовой полости,"2,3",1610,1-3
04-064,Определение атипических клеток в мокроте ручным методом,"4,5",3150,1-3
04-063,Обнаружение чесоточного клеща в биологическом материале,"2,2",1540,1-3
,ГИСТОЛОГИЯ И ЦИТОЛОГИЯ,,,
01-001,Патогистологическое исследование биопсийного/операционного материала (1-2 блок препарата I-II категории сложности),"14,1",9870,10-12
01-017,Патогистологическое исследование биопсийного/операционного материала (3-5 блок препарата III-IV категории сложности),"17,3",12110,10-12
01-020,ИГХ. Исследование гастро-биоптатов с опеределением H. pilory,"22,8",19380,7-9
01-021,Патогистологическое исследование биопсийного/операционного материала (более 6 блок препарата III-IV категории сложности),"30,7",21490,10-12
04-006,"Цитологическое исследование шейки матки, без фиксации,окрашивание по Романовскому","4,3",3010,5-7
04-007,"Цитологическое исследование шейки матки. PAP-тест (ПАП-тест, методом жидкостной цитологии)","9,6",6720,5-7
04-011,"Цитологическое исследование биоматериала (пунктаты, аспираты, мазки отпечатки)","11,95",8365,5-7
04-012,ИГХ. Дифференциальная диагностика гастроинтестинальной стромальной опухоли (GIST),107,90950,12-14
04-013,ИГХ. Дифференциальная диагностика гранулезоклеточных опухолей,"97,3",82705,12-14
04-014,ИГХ. Дифференциальная диагностика и чувствительность к химиотерапии мелкоклеточного рака легкого,"120,8",102680,12-14
04-015,ИГХ. Дифференциальная диагностика мезателиом,91,77350,12-14
04-016,ИГХ. Дифференциальная диагностика меланом,"62,4",53040,12-14
04-017,ИГХ. Дифференциальная диагностика метастаз без первично-выявленного очага,"123,5",104975,12-14
04-018,ИГХ. Дифференциальная диагностика мягкотканных опухолей,"105,8",89930,12-14
04-019,ИГХ. Дифференциальная диагностика опухолей из клеток Меркеля (кожные опухоли),"96,3",81855,12-14
04-020,ИГХ. Дифференциальная диагностика опухолей поджелудочной железы,"110,7",94095,12-14
04-021,ИГХ. Дифференциальная диагностика опухолей слюнных желез,"81,9",69615,12-14
04-022,ИГХ. Дифференциальная диагностика опухолей щитовидной железы,"98,75",83940,12-14
04-023,ИГХ. Дифференциальная диагностика опухолей яичка,"92,2",78370,12-14
04-024,ИГХ. Дифференциальная диагностика первичных и метастатических опухолей ЦНС,"105,9",90015,12-14
04-025,"ИГХ. Дифференциальная диагностика рака предстательной железы (СК5/6, AMACR, p63)","46,7",39695,12-14
04-026,ИГХ. Дифференциальная диагностика сложных диагностических случаев,"145,5",123675,12-14
04-027,ИГХ. Дифференциальная диагностика тимом,"124,4",105740,12-14
04-028,ИГХ. Дополнительное исследование (1 маркер),"19,3",16405,12-14
04-029,"ИГХ. Исследование при подозрении на микроинвазию опухоли (c-r in situ) (p63, SMM, Ki-67, CK5/6)","101,4",86190,10-12
04-030,ИГХ. Исследование лимфом,"128,8",109480,12-14
04-031,ИГХ. Исследование при раке эндометрия,"49,2",41820,12-14
04-032,ИГХ. Определение резистентности (чувствительности) РМЖ к трастузумабу (PTEN),"21,4",18190,12-14
04-033,"ИГХ. Определение рецепторного статуса при раке предстательной железы (PSA, AR)","32,7",27795,12-14
04-034,"ИГХ. Определение чувствительности НМРЛ к химиотерапии (ингибиторы EGFR, кризотиниб, таксаны, антрациклины, фторпиримидины, платина)","84,1",71485,12-14
04-035,"ИГХ. Определение чувствительности рака желудка к химиотерапии (трастузумаб, таксаны, антрациклины, фторпиримидины, платина)","77,3",65705,12-14
04-036,"Пересмотр гистологических препаратов врачом-патологоанатомом, к.м.н./MS, цена за случай",23,16100,10-12
04-037,ИГХ. Определение чувствительности различных опухолей к химиотерапии. Препараты платины (ERCC1),"17,4",14790,12-14
04-038,"ИГХ исследование при РМЖ (ER, PR, C-erbB-2(HER2/neu), Ki-67)","64,7",54995,10-12
04-039,ИГХ. Определение чувствительности различных опухолей к химиотерапии. Таксаны (TAU),"17,4",14790,10-12
04-040,ИГХ. Определение чувствительности различных опухолей к химиотерапии. Фторпиримидины (TS),"17,4",14790,10-12
04-041,ИГХ. Определение чувствительности к химиотерапии при раке яичников,"77,3",65705,10-12
04-042,ИГХ. Определение чувствительности к химиотерапии рака толстой и прямой кишки,"76,2",64770,10-12
04-043,"ИГХ. Определение чувствительности к химиотерапии РМЖ (таксаны,антракциклины, фторпиримидины, платина )","61,4",52190,10-12
04-044,ИГХ. Маркер Ki-67 (пролиферативная активность опухоли),"18,7",15895,10-12
04-045,ИГХ. Маркер P53,"17,4",14790,10-12
04-046,ИГХ. Определение чувствительности различных опухолей к химиотерапии. Антрациклины (Toplla),"17,4",14790,10-12
04-047,ИГХ. Определение чувствительности различных опухолей к химиотерапии. Виналкалоиды (B-тубулин),"17,4",14790,10-12
04-052,Цитологическое исследование шейки матки (с окраской по Романовскому-Гимзе),"3,85",2695,5-7
04-054,ИГХ. Определение 1 типа антител,"28,8",24480,`10-12
04-056,"Пересмотр гистологических стеклопрепаратов с доп.резкой, цена за случай","12,25",8575,10-12
03-009,"Цитологическое исследование шейки матки (Pap-тест, 2 стекла, с фиксацией и без фиксации)","6,65",4655,5-7
03-017,Трансферрин. Качественное определение трансферрина в кале.,"8,3",5810,1-2
,ГЕМОСТАЗ,,,
06-017,Антитромбин III,"3,75",2625,1-3
06-005,АПТВ (активированное парциальное тромбопластинновое время),"1,5",1050,1-3
06-005 после диализа,АПТВ (активированное парциальное тромбопластинновое время),"1,5",1050,1-3
08-416,"Антитела к тромбоцитам, IgG","15,6",13260,12-13
06-001,"Гемостазиограмма стандартная (Качественная и количественная оценка тромбоцитов, агрегация тромбоцитов (с набором индукторов), АПТВ, протромбиновое время, протромбиновый индекс, тромбиновое время, МНО, фибриноген, РФМК)","12,8",8960,2-4
06-003,Д-димер,"7,5",5250,2-4
06-004,"Коагулограмма расширенная (АЧТВ, протромбиновое время, протромбиновый индекс, тромбиновое время, МНО, фибриноген, РФМК, антитромбин III, Д-Димер)","10,45",7315,1-3
06-002,"Коагулограмма стандартная (АЧТВ, протромбиновое время, протромбиновый индекс, тромбиновое время, МНО, фибриноген, РФМК)","5,65",3955,1-3
06-027,ВА Волчаночный антикоагулянт (АФС),"4,8",3360,2-4
06-029,МНО (INR) (Международное Нормализованное Отношение),"2,15",1505,1-3
06-030,Агрегация тромбоцитов с ристомицином,"3,9",2730,1-2
06-007,Протромбиновое время /индекс/ МНО,"1,5",1050,1-3
06-007 после диализа,Протромбиновое время /индекс/ МНО,"1,5",1050,1-3
06-014,РФМК (растворимые фибрин-мономерные комплексы),"1,5",1050,1-3
06-009,Тромбиновое время,"1,5",1050,1-3
06-009 после диализа,Тромбиновое время,"1,5",1050,1-3
06-008,Фибриноген,"1,5",1050,1-3
06-008 после диализа,Фибриноген,"1,5",1050,1-3
06-025,Фактор Виллебранда,"39,45",33535,9-11
06-037,Определение времени Квика (КВ) в плазме крови,"2,45",1715,1-3
06-038,"Фактор свертывания крови - V (проакцелерин, FV)","14,95",12710,9-11
06-039,Фактор свертывания крови - VII (проконвертин),"8,35",7100,5-7
06-040,Фактор свертывания крови - XII (фактор Хагемана),"14,95",12710,8-10
06-022,Фактор свертывания крови - IX (Christmas Factor),"7,6",5320,7-9
06-021,Фактор свертывания крови - VIII (антигемофильный глобулин),"7,6",5320,7-9
06-023,Фактор свертывания крови - XI (фактор Розенталя),"7,6",5320,7-9
,БИОХИМИЯ,,,
11-047,ECP на анализаторе (эозинофильный катионный протеин),"11,1",7770,1-3
07-008,Аланинаминотрансфераза (АЛТ),"1,6",1120,1-3
07-008 после диализа,Аланинаминотрансфераза (АЛТ),"1,6",1120,1-3
07-021,Альбумин,"1,75",1225,1-3
07-074,Альфа-1-антитрипсин,"7,05",5995,7-9
07-011,Амилаза общая в сыворотке,"1,6",1120,1-3
07-012,Амилаза панкреатическая,"1,75",1225,1-3
05-055,Ангиотензин-превращающий фермент,"22,8",19380,14-16
09-307,Органические кислоты в крови (28 показателя),"33,15",28180,9-11
07-033,Антистрептолизин- О (АСЛ-О),3,2100,1-3
07-068,Аполипопротеин А1 (Липопротеин а),"3,45",2415,2-4
07-047,Аполипопротеин В,"4,3",3010,1-3
07-009,Аспартатаминотрансфераза (АСТ),"1,6",1120,1-3
07-009 после диализа,Аспартатаминотрансфераза (АСТ),"1,6",1120,1-3
07-022,Белковые фракции в сыворотке,"5,55",3885,3-5
07-023,Билирубин общий,"1,75",1225,1-3
07-024,Билирубин прямой,"1,6",1120,1-3
07-010,Гамма-ГлютамилТранспептидаза (ГГТП),"1,75",1225,1-3
07-286,Гепсидин 25 (биоактивный),"70,2",59670,10-12
07-295,"Гастропанель (H.pylori, Гастрин, Пепсиноген I, Пепсиноген II)","45,95",39060,14-16
07-040,Гликированный гемоглобин (HbA1c),"3,85",2695,1-3
07-048,Глюкоза,"1,75",1225,1-3
07-048 после диализа,Глюкоза,"1,75",1225,1-3
07-049,Глюкоза через 2 часа после глюкозной нагрузки,"1,75",1225,1-3
15-124 пакет,Глюкозотолерантный тест. Стандартный,3,2700,1-3
08-046,Гомоцистеин,"8,25",7015,5-7
15-264 пакет,Индекс HOMA-IR (Инсулин + Глюкоза),"5,65",5085,1-3
05-052,Фосфатаза кислая,"3,95",3360,9-11
10-261,Цистатин С (с расчетом СКФ),"7,5",6375,6-8
07-027,Креатинин в сыворотке (с расчетом СКФ),"1,75",1225,1-3
07-027 после диализа,Креатинин в сыворотке (с расчетом СКФ),"1,75",1225,1-3
07-014,"Креатинкиназа общая (КК,КФК)","1,75",1225,1-3
07-015,Лактатдегидрогеназа (ЛДГ),"1,75",1225,1-3
09-310,Лептин,"7,7",6545,13-14
07-019,Липаза,"2,8",1960,1-3
07-041,"Липидограмма (Холестерин, ЛПВП, ЛПНП, триглицериды, коэфф. атерогенности)","5,45",3815,1-3
07-052,"Липидограмма и ЛПОНП (Холестерин, ЛПВП, ЛПНП, ЛПОНП, триглицериды, коэфф. атерогенности)","5,65",3955,1-3
07-043,Липопротеины высокой плотности (ЛПВП),"1,75",1225,1-3
07-044,Липопротеины низкой плотности (ЛПНП),"1,75",1225,1-3
08-164,"Высокочувствительный Тропонин-I для прогноза риска ССЗ , количественный тест","12,8",8960,1-3
08-045,Миоглобин,"8,35",5845,1-3
07-028,Мочевая кислота,"1,75",1225,1-3
07-029,Мочевина,"1,75",1225,1-3
07-029 после диализа,Мочевина,"1,75",1225,1-3
07-226,Аммиак в крови (Аммоний),"6,5",4550,3
07-025 пакет,ОЖСС с определением железа в сыворотке и НЖСС,"5,45",4905,1-3
07-020,Общий белок,"1,6",1120,1-3
07-280,Альфа-2-макроглобулина,"6,1",5185,8-9
05-042,Идентификация антиэритроцитарных антител,"17,5",14875,3-4
10-260,Определение титра антиэритроцитарных антител в непрямом тесте Кумбса в ID-картах (количественный тест),"12,8",10880,3-4
10-263,Определение антиэритроцитарных антител в непрямом тесте Кумбса в ID-картах (качественный тест),"6,4",5440,3-4
11-004,Определение белка Бенс-Джонса в крови (методом иммунофиксации),"30,7",21490,3-4
11-006,"Определение М- градиента в крови, качественно","33,8",23660,3-4
05-053,Креатинфосфокиназа МВ (КФК-МВ),3,2550,3-4
07-131,Определение лактата (молочной кислоты),"2,6",1820,3-4
05-051,Определение фракций изоферментов лактатдегидрогеназы,"2,25",1915,7-8
11-049,"Определение М-градиента в крови с антисывороткой D, качественно","32,1",22470,3-4
07-128,Определение общего билирубина в капиллярной крови,"1,75",1225,1-2
08-398,Определение пепсиногена 1 в сыворотке крови,"7,5",6375,12-13
08-399,Определение пепсиногена 2 в сыворотке крови,"8,85",7525,12-13
07-130,Определение свободного гемоглобина в сыворотке,"4,7",3290,1-2
05-054,Холинэстераза,"2,25",1915,11-12
07-133,Фруктозамин,"5,55",4720,7-8
07-301,Определение ФМС-подобной тирозинкиназы 1sFlt,"35,9",30515,7-8
05-015,Определение плацентарного фактора роста для прогноза преэкламсии (PIGF),"42,95",36510,15-16
05-040,Остеокальцин,"7,6",5320,6-7
07-294,Прогастрин-высвобождающий пептид (Pro-GRP) (диагностика мелкоклеточного рака легких),"24,65",20955,7-8
05-008,Преальбумин (транститерин),"3,8",3230,12-13
11-048,Пронатрийуретический пептид (NT-pro-BNP),"15,7",10990,1-3
07-030,Ревматоидный фактор (РФ),3,2100,1-3
08-069,С-пептид,"4,8",3360,1-3
07-031,"С-реактивный белок (СРБ), высокочувствительный","2,45",1715,1-3
07-031 после диализа,С-реактивный белок (СРБ),"2,45",1715,1-3
08-115,Супероксиддисмутаза,23,19550,7-9
07-026,Тимоловая проба,"1,6",1120,2-3
07-038,Трансферрин,3,2100,1-3
07-042,Триглицериды,"1,75",1225,1-3
09-026,Фактор некроза опухоли (аФНО),"4,3",3655,10-11
08-341,Ферритин,3,2100,1-2
07-016,Фосфатаза щелочная общая,"1,6",1120,1-3
07-045,Холестерин общий,"1,6",1120,1-3
10-270,Церулоплазмин,"3,75",2625,1-3
10-324,Эритропоэтин,"15,8",11060,3-5
,БИОХИМИЯ МОЧИ,,,
05-037,Альбумин-креатининовое соотношение в разовой порции мочи (ACR): Микроальбумин + Креатинин,"4,7",3290,1-3
07-134,Бета-2-микроглобулин в моче,"7,5",6375,11-13
13-007,"Барбитураты в моче: фенобарбитал , пентобарбитон, циклобарбитон","8,1",6885,5-7
09-308,Органические кислоты в моче (23 показателя),"33,15",28180,10-11
09-318,Органические кислоты в моче (60 показателей). Взрослым и детям от 3-х лет,"94,4",80240,17-19
09-328,Органические кислоты в моче (40 показателей). Скрининговое исследование для выявления наследственных болезней обмена у новорожденных и детей до 3-х лет,"40,3",34255,9-11
07-058,Моча. Амилаза мочи (диастаза),"1,75",1225,1-3
07-060,Моча. Креатинин разовой порции.,"1,95",1365,1-3
07-057,Моча. Креатинин суточной мочи,"1,95",1365,1-3
11-005,"Определение белка Бенс-Джонса в моче, качественно (методом иммунофиксации)","30,7",21490,3-5
11-050,"Определение белка Бенс-Джонса в моче, количественно (методом иммунофиксации)","34,3",24010,3-5
07-070,Моча. Количественное определение белка в разовой порции мочи ультрачувствительным методом.,"1,1",770,1-3
02-009,Моча. Количественное определение белка в суточной моче ультрачувствительным методом,"1,1",770,1-3
02-006,Моча. Микроальбумин в суточной моче,"3,1",2170,1-3
17-211,"Экспресс-скрининг мочи на наличие 3 видов наркотических веществ (OPI/THC/AMP) на опиаты, амфетамин, каннабиноиды и их метаболиты (марихуана, гашиш)","6,75",4725,1-3
17-213,"Экспресс-скрининг мочи на наличие 5 видов наркотических веществ (MOR/THC/AMP/MET/COC) на морфин (опиаты), каннабиноиды и их метаболиты (марихуана, гашиш), амфетамин, метамфетамин и кокаин.","9,2",6440,1-3
17-214,"Экспресс-скрининг мочи на наличие 6 видов наркотических веществ ( MOR/ THC AMP/MET/COC/BZO) на морфин (опиаты), каннабиноиды и их метаболиты (марихуана, гашиш), амфетамин, метамфетамин, кокаин и бензодиазепины.","12,9",9030,1-3
17-215,"Экспресс-скрининг мочи на наличие 8 видов наркотических веществ (THC/TRA/K2/MOP/AMP/MEP/MCAT/MDPV) на каннабиноиды и их метаболиты (гашиш), трамадол, морфин, мефедрон, МДПВ, меткатинон, амфетамин, марихуана",16,11200,1-3
18-153,"Оксалаты, суточная моча (Оxalates, 24-Hoururine)","15,9",13515,10-12
,ВИТАМИНЫ и МИКРОЭЛЕМЕНТЫ,,,
08-108,Бета-каротин (провитамин А),16,13600,9-11
08-077,Витамин А (ретинол),16,13600,9-11
08-095,Витамин В1 (тиамин),16,13600,9-11
08-096,Витамин В2 (рибофлавин),16,13600,9-11
08-097,"Витамин В3(ниацин, никотинамид)",16,13600,9-11
08-098,Витамин В5 (пантотеновая кислота),16,13600,9-11
08-099,Витамин В6(пиридоксаль-5-фосфат),16,13600,9-11
08-100,"Витамин В7, биотин (витамин Н)",16,13600,9-11
07-071,Витамин B9 (фолиевая кислота),"4,3",3010,1-3
08-072,Витамин В12 (цианокобаламин),"4,3",3010,1-3
08-073,Витамин В12 активный (голотранскобаламин),16,13600,9-11
08-101,Витамин С (аскорбиновая кислота),16,13600,9-11
08-042,Витамин Д (25-гидроксивитамин D),"7,98",5590,1-3
08-107,"Витамин 1,25-дигидрокси D3","29,75",25290,6-8
08-078,Витамин E (альфа-токоферол),16,13600,9-11
08-079,Витамин K1 (филлохинон),16,13600,9-11
08-105,"Водорастворимые витамины (B1, B5, B6, С)","65,6",55760,8-10
08-106,"Жиро- и водорастворимые витамины (A, бета-каротин, D, E, K, C, B1, B2, B3, B5, B6, B9, B12)","165,4",140590,9-11
08-104,"Жирорастворимые витамины (A, D, E, K)","57,5",48875,9-11
07-001,Железо (Fe) в сыворотке,"1,75",1225,1-3
07-001 после диализа,Железо (Fe) в сыворотке,"1,75",1225,2
07-055,Ненасыщенная железосвязывающая способность (НЖСС),"2,15",1505,1-3
09-305,Йод (I) в крови,"5,55",4720,8-10
09-306,Йод (I) в моче,"5,55",4720,8-10
07-006,Калий (К+) в сыворотке,"1,75",1225,1-3
07-006 после диализа,Калий (К+) в сыворотке,"1,75",1225,1-3
07-063,Кальций ионизированный (Ca++) в сыворотке,3,2100,1-3
18-154,"Кальций, разовая порция мочи (с креатинином и расчетом кальций/креатинин отношения)","2,45",1715,1-3
07-002,Кальций общий (Са) в сыворотке,"1,75",1225,1-3
07-002 после диализа,Кальций общий (Са) в сыворотке,"1,75",1225,1-3
07-085,Кобальт (Co) в волосах,"9,7",8245,7-9
07-113,Кобальт (Co) в крови,"5,55",4720,7-9
07-114,Кобальт (Co) в моче,"5,55",4720,7-9
07-083,Кремний (Si) в волосах,"9,7",8245,7-9
07-106,Кремний (Si) в крови,"5,55",4720,7-9
07-107,Кремний (Si) в моче,"5,55",4720,7-9
07-091,Литий (Li) в волосах,"9,7",8245,7-9
07-111,Литий (Li) в крови,"5,55",4720,7-9
07-112,Литий (Li) в моче,"5,55",4720,7-9
07-077,Магний (Mg) в волосах,"9,7",8245,7-9
07-005,Магний (Mg) в сыворотке крови,"1,6",1120,1-3
07-125,Магний (Mg) в суточной моче,"5,55",4720,7-9
07-082,Марганец (Mn) в волосах,"9,7",8245,7-9
07-101,Марганец (Mn) в крови,"5,55",4720,8-10
07-102,Марганец (Mn) в моче,"5,55",4720,8-10
07-080,Медь (Cu) в волосах,"9,7",8245,7-9
07-004,Медь (Cu) в крови,"5,55",4720,9-10
07-067,Медь (Cu) в суточной моче,"5,55",4720,9-11
07-093,Молибден (Mo) в волосах,"9,7",8245,7-8
07-109,Молибден (Mo) в крови,"5,55",4720,7-9
07-110,Молибден (Mo) в моче,"5,55",4720,7-9
07-098,Мышьяк (As) в крови,"5,55",4720,10-11
07-099,Мышьяк (As) в моче,"5,55",4720,10-11
07-007,Натрий (Na+) в сыворотке,"1,75",1225,1-2
07-007 после диализа,Натрий (Na+) в сыворотке,"1,75",1225,1-2
07-124,Натрий (Na) в суточной моче,"5,55",4720,7-8
07-086,Никель (Ni) в волосах,"9,7",8245,7-8
07-127,Никель (Ni) в крови,"5,55",4720,7-8
07-108,Никель (Ni) в моче,"5,55",4720,7-9
07-092,Ртуть (Hg) в волосах,"9,7",8245,7-8
07-126,Ртуть (Hg) в крови,"5,55",4720,7-8
07-094,Ртуть (Hg) в моче,"5,55",4720,7-8
07-087,Свинец (Pb) в волосах,"9,7",8245,7-8
07-081,Свинец (Pb) в крови,"5,55",4720,7-8
07-090,Свинец (Pb) в моче,"5,55",4720,7-8
07-079,Селен (Se) в волосах,"9,7",8245,7-8
09-311,Селен (Se) в крови,"5,55",4720,7-8
07-105,Селен (Se) в моче,"5,55",4720,7-9
07-100,Уран (U) в крови,"5,55",4720,9-10
07-097,Уран (U) в волосах,"9,7",8245,7-8
07-096,Уран (U) в моче,"5,55",4720,7-8
07-003,Фосфор (Р) в сыворотке,"1,6",1120,2-3
07-003 после диализа,Фосфор (Р) в сыворотке,"1,6",1120,1-2
18-155,"Фосфор, разовая порция мочи (с креатинином и расчетом фосфор/креатинин отношения)","2,7",1890,1-2
07-078,Цинк (Zn) в волосах,"9,7",8245,7-8
10-255,Цинк (Zn) в крови,"5,55",4720,7-8
07-103,Цинк (Zn) в моче,"5,55",4720,7-9
07-059,Хлор (Cl) в сыворотке,"1,75",1225,1-2
07-073,Хлориды (Cl) в суточной моче,"1,95",1660,7-8
07-084,Хром (Cr) в волосах,"9,7",8245,7-8
07-095,Хром (Cr) в крови,"5,55",4720,8-10
07-104,Хром (Cr) в моче,"5,55",4720,7-9
07-076,"Эссенциальные и токсичные микроэлементы: Li,B,Na,Mg,Al,Si,K,Ca, Ti,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Mo,Cd,Sb,Hg,Pb (23 элемента) в крови","34,3",29155,7-9
,ГОРМОНЫ,,,
09-009,Фагоцитоз,6,5100,4-6
08-058,Пренатальный скрининг в I триместре беременности (Бета-ХГЧ+ РАРР-А),"16,65",11655,3-5
08-168,Пренатальный скрининг в I триместре беременности (Бета-ХГЧ+ РАРР-А) (в сухих пятнах крови),"16,65",14155,5-7
08-158,Пренатальный скрининг во II триместре беременности (Бета-ХГЧ+АФП),"16,95",11865,3-5
08-182,Плацентарный лактоген,10,8500,7-9
08-141,17-ОН прогестерон,"4,4",3080,7-8
08-055,АКТГ (Адренокортикотропный гормон),"6,4",4480,1-3
07-279,Альдостерон,"7,35",6250,8-10
16-113 пакет,Альдостерон-рениновое соотношение,"14,85",13365,9-11
18-159,Андростендион (Androstenedione),"11,95",10160,9-10
08-065,Антимюллеровый гормон (АМГ),"10,45",7315,1-3
08-015,Антитела к тиреоглобулину (анти-ТГ),"3,85",2695,1-3
08-014,Анти-ТПО. Антитела к тиреопероксидазе,"3,85",2695,1-3
08-016,Антитела к рецепторам ТТГ,"11,95",8365,1-3
08-034,"Бета-ХГЧ, общий","3,45",2415,1-3
08-149,"Глобулин, связывающий половые гормоны (ГСПГ)","5,45",4635,1-3
08-057,ДГЭА-SО4 (дегидроэпиандростерон),"4,05",2835,1-3
08-111,Дигидротестостерон,"19,6",16660,7-9
08-017,Инсулин,"4,9",3430,1-3
08-090,ИФР-1 (Инсулиноподобный фактор роста),"7,6",5320,1-2
18-160,Ингибин В,19,16150,7-9
08-064,Кальцитонин,"9,2",6440,1-3
08-136,Кортизол (вечер),"3,45",2415,1-3
08-036,Кортизол (утро),"3,75",2625,1-3
08-145,Кортизол в суточной моче,"3,1",2170,2-4
08-410,"Кортизол в слюне (4 взятия, ВЭЖХ), соотношение к ДГЭА","30,7",26095,8-10
08-025,Лютеинизирующий гормон (ЛГ),"3,45",2415,1-2
10-323,Омега-3 индекс,"36,75",31240,8-10
08-063,Паратгормон (интактный ПТГ ),"6,65",4655,1-3
